level,location,resp_time,null
1.0,"43.70278942,-72.28658418",2013-04-15 02:07:35,
4.0,"43.70278942,-72.28658418",2013-04-09 04:48:14,
5.0,"43.70278942,-72.28658418",2013-04-09 04:04:10,
1.0,"43.70278942,-72.28658418",2013-04-09 18:58:08,
1.0,"43.70278942,-72.28658418",2013-04-09 22:31:53,
1.0,"43.70278942,-72.28658418",2013-04-09 16:26:24,
1.0,"43.70278942,-72.28658418",2013-04-11 18:55:31,
1.0,"43.70278942,-72.28658418",2013-04-11 23:22:20,
4.0,"43.70278942,-72.28658418",2013-04-10 02:43:32,
1.0,"43.70278942,-72.28658418",2013-04-10 22:17:04,
4.0,"43.70278942,-72.28658418",2013-04-11 05:09:30,
2.0,"43.70278942,-72.28658418",2013-04-11 03:57:47,
1.0,"43.70278942,-72.28658418",2013-04-11 08:13:02,
4.0,"43.70278942,-72.28658418",2013-04-12 03:50:20,
1.0,"43.70278942,-72.28658418",2013-04-12 22:10:37,
1.0,"43.70278942,-72.28658418",2013-04-13 23:41:55,
2.0,"43.7050225,-72.28939767",2013-04-15 20:29:40,
1.0,"43.7050225,-72.28939767",2013-04-16 08:14:36,
2.0,"43.7050225,-72.28939767",2013-04-17 01:52:31,
2.0,"43.7050225,-72.28939767",2013-04-17 05:18:30,
1.0,"43.7050225,-72.28939767",2013-04-17 16:30:31,
4.0,"43.7050225,-72.28939767",2013-04-18 16:26:39,
1.0,"43.7050225,-72.28939767",2013-04-18 04:15:36,
4.0,"43.70665284,-72.28802865",2013-04-21 01:23:55,
4.0,"43.70665284,-72.28802865",2013-04-20 04:17:14,
1.0,"43.70330372,-72.2898598",2013-04-26 16:31:08,
1.0,"43.70665284,-72.28802865",2013-04-20 05:14:22,
2.0,"43.70330372,-72.2898598",2013-04-26 18:02:06,
4.0,"43.70414567,-72.2861611",2013-04-22 01:55:14,
1.0,"43.70330372,-72.2898598",2013-04-25 18:50:38,
4.0,"43.70539179,-72.28841197",2013-04-21 16:43:40,
4.0,"43.70324408,-72.28961597",2013-04-22 03:17:32,
4.0,"43.70324408,-72.28961597",2013-04-22 07:51:03,
4.0,"43.70324408,-72.28961597",2013-04-22 16:40:05,
1.0,"43.70324408,-72.28961597",2013-04-24 07:48:15,
4.0,"43.70324408,-72.28961597",2013-04-24 16:44:47,
4.0,"43.70297206,-72.28625376",2013-04-25 05:39:35,
1.0,"43.70426581,-72.2858175",2013-04-30 01:44:12,
4.0,"43.70324408,-72.28961597",2013-04-23 02:19:36,
4.0,"43.70324408,-72.28961597",2013-04-22 19:06:27,
1.0,"43.70324408,-72.28961597",2013-04-23 04:02:59,
2.0,"43.70324408,-72.28961597",2013-04-23 16:27:46,
1.0,"43.70324408,-72.28961597",2013-04-23 17:56:54,
1.0,"43.70324408,-72.28961597",2013-04-23 07:57:35,
1.0,"43.70324408,-72.28961597",2013-04-23 16:48:33,
1.0,"43.70324408,-72.28961597",2013-04-25 01:23:16,
4.0,"43.70297206,-72.28625376",2013-04-25 16:34:14,
4.0,"43.70652564,-72.28793622",2013-04-27 04:17:25,
3.0,"43.70579342,-72.28686137",2013-04-29 04:04:38,
1.0,"43.70151131,-72.28813703",2013-04-28 20:01:59,
4.0,"43.70160853,-72.28805517",2013-04-30 04:01:45,
4.0,"43.7088842,-72.28428872",2013-04-29 20:25:24,
1.0,"43.70412157,-72.28527572",2013-05-02 06:07:04,
1.0,"43.70412157,-72.28527572",2013-05-03 05:21:08,
1.0,"43.70764992,-72.28551783",2013-05-07 20:00:57,
4.0,"43.70324666,-72.29028792",2013-05-15 21:16:06,
1.0,"43.70420958,-72.28780578",2013-05-08 16:34:23,
1.0,"43.70666822,-72.28787317",2013-05-09 04:29:25,
1.0,"43.70324666,-72.29028792",2013-05-15 03:40:34,
4.0,"43.70324666,-72.29028792",2013-05-15 21:17:00,
2.0,"43.70290198,-72.28795273",2013-05-18 20:15:48,
1.0,"43.70620585,-72.28792804",2013-05-17 20:17:32,
4.0,Unknown,2013-05-23 16:46:18,
