level,location,resp_time,null
1.0,"43.70378422,-72.29157491",2013-04-23 16:16:28,
3.0,"43.70381392,-72.29084126",2013-04-26 06:14:26,
3.0,"43.70381392,-72.29084126",2013-04-26 18:02:17,
3.0,"43.70380827,-72.290783",2013-04-28 18:23:31,
3.0,"43.70378913,-72.29087644",2013-04-29 00:30:41,
3.0,"43.70380827,-72.290783",2013-04-28 20:05:35,
3.0,"43.70373463,-72.29053354",2013-04-29 04:13:25,
3.0,"43.70435459,-72.29034651",2013-04-29 20:46:26,
4.0,"43.70376088,-72.29035391",2013-04-30 17:12:49,
3.0,"43.70688467,-72.28732802",2013-04-30 00:00:16,
1.0,"43.70545477,-72.28953205",2013-05-02 05:09:39,
1.0,"43.70545477,-72.28953205",2013-05-02 01:39:35,
1.0,Unknown,2013-05-02 17:27:12,
3.0,"43.70360319,-72.29109274",2013-05-03 06:52:52,
3.0,"43.70369577,-72.29064258",2013-05-06 17:17:53,
2.0,"43.70363675,-72.29111179",2013-05-09 05:36:26,
2.0,"43.70397531,-72.28989529",2013-05-05 00:16:02,
2.0,"43.70397531,-72.28989529",2013-05-05 17:10:02,
3.0,"43.70369577,-72.29064258",2013-05-06 05:25:29,
3.0,"43.70369577,-72.29064258",2013-05-06 05:26:43,
3.0,"43.70363675,-72.29111179",2013-05-09 01:10:32,
4.0,"43.70317722,-72.28939878",2013-05-11 05:28:27,
2.0,"43.70391463,-72.28988644",2013-05-15 02:08:57,
2.0,"43.7038144,-72.29043427",2013-05-07 18:18:22,
1.0,Unknown,2013-05-12 19:14:04,
2.0,"43.70391463,-72.28988644",2013-05-14 02:45:04,
2.0,"43.70534496,-72.29049134",2013-05-07 16:12:16,
3.0,"43.70345091,-72.29056717",2013-05-10 17:34:20,
1.0,"43.70722102,-72.29064325",2013-05-08 04:13:58,
2.0,"43.70391463,-72.28988644",2013-05-15 00:10:19,
4.0,"43.70374249,-72.29050587",2013-05-15 20:37:55,
2.0,"43.70374249,-72.29050587",2013-05-16 03:20:14,
1.0,"43.70355342,-72.29047722",2013-05-04 18:19:23,
3.0,"43.70695455,-72.28826139",2013-05-07 04:00:12,
1.0,"43.70444528,-72.29050901",2013-05-08 18:03:07,
1.0,"43.70317722,-72.28939878",2013-05-11 16:34:20,
1.0,"43.70317722,-72.28939878",2013-05-11 19:25:16,
2.0,"43.70391463,-72.28988644",2013-05-14 19:59:24,
4.0,Unknown,2013-05-17 19:25:34,
1.0,"43.70695744,-72.28713032",2013-05-18 02:31:00,
4.0,"43.70633473,-72.28883226",2013-05-19 20:19:44,
1.0,"43.70633473,-72.28883226",2013-05-19 05:39:09,
1.0,Unknown,2013-05-18 19:14:10,
2.0,Unknown,2013-05-21 02:46:42,
3.0,Unknown,2013-05-20 03:19:23,
1.0,Unknown,2013-05-20 04:06:37,
4.0,Unknown,2013-05-20 03:19:48,
1.0,Unknown,2013-05-20 19:29:32,
3.0,Unknown,2013-05-21 04:40:49,
1.0,"43.70708133,-72.28751809",2013-05-22 05:58:40,
3.0,"43.70688262,-72.28760657",2013-05-23 04:18:58,
1.0,"43.70290001,-72.28954014",2013-05-22 19:34:01,
2.0,"43.70390811,-72.29065789",2013-05-24 04:09:20,
2.0,"43.70675104,-72.28740962",2013-05-23 22:48:54,
1.0,"43.70372826,-72.29097234",2013-05-24 20:54:41,
3.0,"43.68753666,-72.29250241",2013-05-28 05:41:44,
3.0,"43.68753666,-72.29250241",2013-05-28 08:18:23,
