course_id,due,experience,hours,location,resp_time
CS 65,1,1,6,"43.704237481579185,-72.2890498302877",2013-04-09 00:02:09
Sexperts,1,2,3,"43.70496301911771,-72.2903998196125",2013-04-17 00:02:52
Sexperts,1,2,2,"43.70316120330244,-72.28972448967397",2013-04-10 00:11:57
German 1 Drill,2,3,3,"43.70316120330244,-72.28972448967397",2013-04-10 00:11:34
German 1,1,2,2,"43.70316120330244,-72.28972448967397",2013-04-10 00:11:47
German 1 Drill,2,2,3,"43.7040551751852,-72.28721763007343",2013-04-11 16:56:31
German 1 Drill,2,3,2,"43.70533023029566,-72.28808063082397",2013-04-18 17:58:32
CS 65,2,2,2,Unknown,2013-04-11 21:59:53
German 1,1,2,3,"43.70270728133619,-72.28772247210145",2013-04-11 17:55:30
Sexperts,2,2,2,Unknown,2013-04-11 23:56:26
German 1 Drill,2,1,2,"43.70292215142399,-72.2911821026355",2013-04-13 03:36:42
German 1,1,4,3,"43.70295664295554,-72.29111923836172",2013-04-13 03:37:08
Germ�n 1,1,1,3,Unknown,2013-04-18 00:02:49
German 1 Drill,2,3,2,Unknown,2013-04-16 00:18:48
German 1,1,3,3,Unknown,2013-04-16 00:19:02
Germ�n 1 Drill,2,2,2,Unknown,2013-04-18 00:02:37
Computer Science 7,1,4,9,Unknown,2013-04-18 00:03:10
Sexperts,1,3,2,Unknown,2013-04-18 09:28:18
German 1,1,3,2,"43.7053832039237,-72.28814735077322",2013-04-18 17:58:44
CS 7,1,4,9,Unknown,2013-04-18 09:28:40
CS 65,2,3,2,"43.70582476258278,-72.29042178019881",2013-04-19 20:53:01
German 1,1,3,2,"43.70582476258278,-72.29042178019881",2013-04-19 20:53:17
German 1 Drill,1,2,2,"43.70440830476582,-72.2871760558337",2013-04-19 16:51:31
German 1,2,3,2,"43.70448730420321,-72.28795372880995",2013-04-22 17:55:59
German 1,2,3,1,Unknown,2013-04-24 02:29:12
German 1Drill,2,1,1,Unknown,2013-04-24 02:29:47
Sexperts,2,1,1,Unknown,2013-04-24 02:30:07
German 1 Drill,2,3,2,"43.70562979951501,-72.28742231614888",2013-04-26 19:05:53
 German 1,2,3,1,"43.70627956464887,-72.29024643078446",2013-04-25 18:08:23
CS 7,2,1,2,"43.704175874590874,-72.2904362808913",2013-04-25 23:54:20
Sexperts,2,2,2,"43.704535835422575,-72.29042085818946",2013-04-25 23:54:31
CS 65,2,1,2,"43.70562979951501,-72.28742231614888",2013-04-26 19:06:46
German 1,1,3,3,"43.70562979951501,-72.28742231614888",2013-04-26 19:06:04
German 1 Drill,2,4,2,"43.704183753579855,-72.28855940513313",2013-04-29 16:53:05
German 1,1,3,2,"43.704183753579855,-72.28855940513313",2013-04-29 19:05:31
CS 65,1,3,12,"43.704183753579855,-72.28855940513313",2013-04-29 19:05:40
German 1 Drill,2,3,2,Unknown,2013-04-30 17:00:56
German 1,1,3,2,"43.70313869789243,-72.2904294077307",2013-05-01 05:01:22
Sexperts,1,1,2,"43.70313869789243,-72.2904294077307",2013-05-01 05:01:38
German 1,1,2,2,"43.70215223170817,-72.28934881277382",2013-05-02 17:58:47
CS 65,2,1,2,"43.70457284152508,-72.2903202753514",2013-05-03 00:01:03
German 1 Drill,2,3,2,"43.70215223170817,-72.28934881277382",2013-05-02 17:58:35
Sexperts,2,1,1,"43.705135183408856,-72.29042873717844",2013-05-03 00:01:33
CS 7,2,3,1,"43.70491880457848,-72.29022338055074",2013-05-03 00:01:16
German 1,1,2,2,"43.70550696272403,-72.28745399974287",2013-05-06 18:02:01
German 1,1,3,3,"43.70338646695018,-72.28882427327335",2013-05-09 17:54:47
CS 7,1,1,4,"43.702878188341856,-72.29103986173868",2013-05-07 02:30:35
German 1 Drill,2,3,2,Unknown,2013-05-11 00:00:45
German 1 Drill,2,3,2,"43.70389746967703,-72.28679367341101",2013-05-06 16:52:15
CS 65,2,4,3,"43.705406757071614,-72.28963203728199",2013-05-06 19:42:34
German 1 Drill,2,3,2,"43.705429220572114,-72.29127271100879",2013-05-07 16:57:15
German 1,1,3,2,Unknown,2013-05-11 00:00:55
CS 7,1,1,12,Unknown,2013-05-09 08:22:45
CS 65,2,3,12,"43.70553600601852,-72.29107699356973",2013-05-16 15:42:16
German 1 Drill,2,3,1,"43.70346668176353,-72.28856099769473",2013-05-09 17:54:34
Sexperts,2,1,1,"43.70553600601852,-72.29107699356973",2013-05-16 15:42:49
CS 7,1,1,3,"43.70553600601852,-72.29107699356973",2013-05-16 15:42:32
German 1 Drill,2,3,2,Unknown,2013-05-18 00:02:56
German 1,1,3,2,"43.70520072989166,-72.28917254135013",2013-05-18 00:03:10
CS 7,1,4,3,"43.70532067492604,-72.28892787359655",2013-05-18 00:03:33
German 1,1,3,2,"43.705461281351745,-72.2910166438669",2013-05-21 09:14:21
CS 7,1,3,12,"43.705461281351745,-72.2910166438669",2013-05-21 09:14:37
German 1 Drill,2,3,2,"43.705461281351745,-72.2910166438669",2013-05-21 09:14:11
German 1,1,3,2,Unknown,2013-05-21 18:55:26
Sexperts,2,3,1,"43.705348586663604,-72.28977226652205",2013-05-22 00:06:53
German 1 Drill,2,3,3,Unknown,2013-05-21 18:55:26
Sexperts,2,2,1,"43.705720701254904,-72.29104246012866",2013-05-23 01:29:35
German 1 Drill,2,3,1,Unknown,2013-05-23 17:59:06
Sexperts,2,2,1,Unknown,2013-05-24 00:06:22
German 1,1,3,2,Unknown,2013-05-23 17:59:26
German 1 Drill,2,3,1,Unknown,2013-05-24 17:00:37
German 1,2,3,2,Unknown,2013-05-24 17:57:03
CS 7,1,4,3,Unknown,2013-05-25 00:40:11
German 1 Drill,2,3,2,Unknown,2013-05-29 02:02:41
German 1,1,3,4,Unknown,2013-05-29 02:02:52
CS 65,1,1,12,Unknown,2013-05-29 20:08:51
Sexperts,1,3,2,Unknown,2013-05-30 00:44:25
